Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rfbt,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbb,Vishay-Dale,CRCW040224K9FKED,1,0.01,3,Resistance: 24.9 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rpg,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cinx,MuRata,GRM188R72A104KA35D,1,0.05,4.68,Cap: 100 nF  Total Derated Cap: 80 nF  VDC: 100 V  ESR: 1 mΩ  Package: 0603  
Cinx_ch1,MuRata,GRM188R72A104KA35D,1,0.05,4.68,Cap: 100 nF  Total Derated Cap: 80 nF  VDC: 100 V  ESR: 1 mΩ  Package: 0603  
Cboot,MuRata,GRM155R71C104KA88D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
L1,TDK,VLP8040T-2R2N,1,0.22,113.42,L: 2.2 µH  DCR: 15 mΩ  IDC: 6.7 A  
Cin,MuRata,GRM31CR71H475KA12L,1,0.22,10.92,Cap: 4.7 µF  Total Derated Cap: 2.7 µF  VDC: 50 V  ESR: 3 mΩ  Package: 2220  
U1,Texas Instruments,LMR33630CRNXR,1,0.881,12,
Coutx,MuRata,GRM188R71E104KA01D,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 99 nF  VDC: 25 V  ESR: 30 mΩ  Package: 0603  
Cvcc,Kemet,C0603C105K8PACTU,1,0.01,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 10 V  ESR: 1 mΩ  Package: 0603  
Cin_ch1,MuRata,GRM31CR71H475KA12L,1,0.22,10.92,Cap: 4.7 µF  Total Derated Cap: 2.7 µF  VDC: 50 V  ESR: 3 mΩ  Package: 2220  
Cout,Kemet,C0805C106K8PACTU,2,0.03,6.75,Cap: 10 µF  Total Derated Cap: 13 µF  VDC: 10 V  ESR: 3 mΩ  Package: 0805  
Cff,MuRata,GRM1555C1H7R5CA01D,1,0.01,3,Cap: 7.5 pF  Total Derated Cap: 7.5 pF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  